vin,start_date,end_date,repair_status,repair_description,vendor_name,repair_cost,NHTSA_recall_compaign_number,inventory_clerk_permission
1WU1KQALZ75403546,2019-05-12 00:00:00,2019-05-28 00:00:00,completed,reduce carbon footprint; adjust adaptive cruise control; ,Toughzap,389.56,NULL,
1WU1KQALZ75403546,2019-07-19 00:00:00,2019-08-06 00:00:00,in progress,repair shiftable automatic transmission; refurbish power steering; ,Cancity,43.28,NULL,
1WU1KQALZ75403546,2019-09-14 00:00:00,2019-09-25 00:00:00,in progress,change coolant; adjust low fuel warning indicator; ,Newex,389.56,NULL,
22420XMJ47N471618,2019-02-13 00:00:00,2019-03-13 00:00:00,completed,change purge valve; ,Toughzap,337.14,NULL,
23XI32P0M0K897737,2019-02-06 00:00:00,2019-06-18 00:00:00,completed,fix deceleration system; replace stabilizer bar; ,Cancity,761.97,NULL,
27J2LRAE38R945176,2019-05-08 00:00:00,2019-07-03 00:00:00,in progress,reduce blind spot; install intelligent alternator; ,Fasehatice,723.91,14V404000,
27J2LRAE38R945176,2019-07-18 00:00:00,2019-07-26 00:00:00,in progress,check drive axle boots; adjust accelerator pedal linkage; ,Fasehatice,98.71,16V651000,
27J2LRAE38R945176,2019-08-09 00:00:00,2019-08-19 00:00:00,in progress,replace fuel filter; change coolant; ,Zencorporation,164.52,NULL,
2CEDOZQS3WI014174,2019-01-17 00:00:00,2019-03-25 00:00:00,completed,improve engine performance; adjust adaptive cruise control; ,Newex,4118.68,NULL,
2CEDOZQS3WI014174,2019-05-22 00:00:00,2019-06-01 00:00:00,pending,fix steering damper; replace crankcase ventilation filter; ,Zumgoity,430.31,NULL,
2CEDOZQS3WI014174,2019-07-05 00:00:00,2019-07-30 00:00:00,pending,change speaker configuration; replace brake pedal spring; ,Zencorporation,1352.4,NULL,
2CEDOZQS3WI014174,2019-08-16 00:00:00,2019-08-23 00:00:00,in progress,replace timing belt tensioner; replace crankcase ventilation filter; ,Rundofase,122.95,NULL,
2CEDOZQS3WI014174,2019-08-27 00:00:00,2019-09-26 00:00:00,pending,replace fuel filter; check drive axle boots; ,Toughzap,1352.4,NULL,
2KANK83IC2A444270,2019-02-10 00:00:00,2019-02-10 00:00:00,in progress,change speaker configuration; adjust retractable mirrors; ,Zumgoity,41.57,NULL,
2KANK83IC2A444270,2019-02-12 00:00:00,2019-02-23 00:00:00,completed,replace catalytic converter; replace crankcase ventilation filter; ,Fasehatice,83.15,NULL,
2KANK83IC2A444270,2019-02-25 00:00:00,2019-02-27 00:00:00,completed,change purge valve; add knee airbags; ,Zoomit,41.57,NULL,
2TN1NJUXESG344969,2019-02-16 00:00:00,2019-02-24 00:00:00,completed,change pcv filter/pcv valve; install smoked glass; ,Zumgoity,444.9,NULL,
2TN1NJUXESG344969,2019-02-25 00:00:00,2019-03-09 00:00:00,completed,reduce carbon footprint; replace stabilizer bar; ,Zencorporation,444.9,09V277000,
2TN1NJUXESG344969,2019-03-11 00:00:00,2019-03-19 00:00:00,in progress,change purge valve; fix cylinder head bolts; ,Newex,333.68,17V014000,
2TN1NJUXESG344969,2019-04-03 00:00:00,2019-04-13 00:00:00,in progress,replace fuel filter; fix deceleration system; ,Zencorporation,778.58,16V358000,
2TN1NJUXESG344969,2019-04-14 00:00:00,2019-05-09 00:00:00,in progress,adjust block heater; ,Zoomit,667.35,11V464000,
2TN1NJUXESG344969,2019-05-14 00:00:00,2019-05-17 00:00:00,in progress,adjust turn signals; change coolant; ,Toughzap,444.9,NULL,
2TN1NJUXESG344969,2019-05-19 00:00:00,2019-05-20 00:00:00,in progress,make polarization coating; adjust block heater; ,Fasehatice,222.45,16V576000,
30IT6VOHPTN692600,2019-05-19 00:00:00,2019-05-19 00:00:00,pending,replace radiator core & ac condenser; add heated windshield; ,Zoomit,15.28,NULL,
30IT6VOHPTN692600,2019-05-20 00:00:00,2019-05-21 00:00:00,pending,change wheel cylinders; reduce blind spot; ,Fasehatice,15.28,NULL,
30IT6VOHPTN692600,2019-05-22 00:00:00,2019-05-22 00:00:00,completed,install on-board diagnosis system; ,Newex,15.28,NULL,
30KBYEYBKH5669910,2019-05-17 00:00:00,2019-05-22 00:00:00,in progress,prevent fuel pump shutoff; configure universal remote control; ,Rundofase,61.14,NULL,
30KBYEYBKH5669910,2019-05-27 00:00:00,2019-05-31 00:00:00,completed,change wheel cylinders; install parking sensors; ,Zencorporation,30.57,NULL,
30KBYEYBKH5669910,2019-06-02 00:00:00,2019-06-03 00:00:00,pending,replace stabilizer bar; replace brake pedal spring; ,Zoomit,30.57,NULL,
30KBYEYBKH5669910,2019-06-05 00:00:00,2019-06-08 00:00:00,pending,replace ace filter; fix broken tow hooks; ,Zencorporation,61.14,NULL,
30KBYEYBKH5669910,2019-06-13 00:00:00,2019-06-17 00:00:00,pending,replace tail lights; ,Rundofase,45.85,NULL,
30KBYEYBKH5669910,2019-06-18 00:00:00,2019-06-19 00:00:00,completed,change timing belt; fix steering damper; ,Fasehatice,15.28,NULL,
31ZQB40Z55B784788,2019-03-13 00:00:00,2019-03-24 00:00:00,completed,adjust accelerator pedal linkage; upgrade navigation system; ,Zumgoity,334.21,19V006000,
31ZQB40Z55B784788,2019-04-01 00:00:00,2019-04-04 00:00:00,in progress,adjust seat belts tension; refurbish power steering; ,Toughzap,30.38,NULL,
31ZQB40Z55B784788,2019-04-06 00:00:00,2019-04-09 00:00:00,completed,replace fuel filter; repair direct injection system; ,Newex,60.77,00V099000,
31ZQB40Z55B784788,2019-04-15 00:00:00,2019-04-16 00:00:00,pending,change suspension fluid; change timing belt; ,Cancity,30.38,NULL,
31ZQB40Z55B784788,2019-04-17 00:00:00,2019-04-24 00:00:00,completed,install separate rear audio; replace catalytic converter; ,Zumgoity,30.38,NULL,
31ZQB40Z55B784788,2019-05-06 00:00:00,2019-05-14 00:00:00,completed,add knee airbags; adjust block heater; ,Rundofase,91.15,NULL,
35TB5QWCJW0515619,2019-04-19 00:00:00,2019-04-24 00:00:00,completed,replace radiator hoses; change wheel cylinders; ,Newex,54.46,NULL,
35TB5QWCJW0515619,2019-04-29 00:00:00,2019-05-01 00:00:00,pending,install turbocharger; add heated windshield; ,Cancity,54.46,NULL,
35TB5QWCJW0515619,2019-05-02 00:00:00,2019-05-03 00:00:00,pending,reduce blind spot; replace radiator hoses; ,Zumgoity,18.15,NULL,
35TB5QWCJW0515619,2019-05-06 00:00:00,2019-05-06 00:00:00,in progress,replace liftgate window; replace steering column lock; ,Fasehatice,18.15,NULL,
35TB5QWCJW0515619,2019-05-11 00:00:00,2019-05-13 00:00:00,completed,add knee airbags; fix rear hvac; ,Zencorporation,18.15,NULL,
35TB5QWCJW0515619,2019-05-14 00:00:00,2019-05-19 00:00:00,in progress,fix sunroof; check drive axle boots; ,Toughzap,18.15,NULL,
35TB5QWCJW0515619,2019-05-24 00:00:00,2019-05-24 00:00:00,in progress,replace ace filter; adjust block heater; ,Zoomit,18.15,16V137000,
35TB5QWCJW0515619,2019-05-26 00:00:00,2019-05-29 00:00:00,completed,attach seat extension; improve cylinder configuration; ,Zoomit,54.46,NULL,
38ZSAKVC20U930606,2019-02-10 00:00:00,2019-02-12 00:00:00,completed,attach exterior camera; change wheel cylinders; ,Zumgoity,14.72,14V753000,
38ZSAKVC20U930606,2019-03-21 00:00:00,2019-03-21 00:00:00,pending,install active pedestrian protection system; reduce blind spot; ,Newex,14.72,NULL,
38ZSAKVC20U930606,2019-04-04 00:00:00,2019-04-14 00:00:00,in progress,install anti-theft alarm; replace steering column lock; ,Newex,132.45,NULL,
38ZSAKVC20U930606,2019-04-25 00:00:00,2019-05-19 00:00:00,pending,fix ventilated seats; repair cooled seats; ,Zoomit,103.02,NULL,
38ZSAKVC20U930606,2019-05-24 00:00:00,2019-06-09 00:00:00,pending,replace stabilizer bar; install parking sensors; ,Toughzap,250.19,NULL,
3HWBBE541KJ068668,2019-05-25 00:00:00,2019-06-14 00:00:00,pending,change steering rack; replace steering column lock; ,Zoomit,762.4,18E016000,
3KYD25BMOB3101135,2019-06-13 00:00:00,2019-06-20 00:00:00,pending,replace tail lights; ,Cancity,130.82,NULL,
3KYD25BMOB3101135,2019-06-25 00:00:00,2019-07-01 00:00:00,pending,change air conditioner refrigerant; set up satellite radio; ,Zumgoity,261.63,NULL,
3KYD25BMOB3101135,2019-07-11 00:00:00,2019-07-11 00:00:00,in progress,install smoked glass; replace tail lights; ,Zoomit,43.61,NULL,
3KYD25BMOB3101135,2019-07-28 00:00:00,2019-08-05 00:00:00,completed,check drive axle boots; ,Zoomit,87.21,NULL,
3KYD25BMOB3101135,2019-08-06 00:00:00,2019-08-09 00:00:00,completed,install active pedestrian protection system; change speaker configuration; ,Newex,87.21,NULL,
3KYD25BMOB3101135,2019-08-20 00:00:00,2019-08-24 00:00:00,completed,fix broken tow hooks; fix deceleration system; ,Cancity,130.82,NULL,
3KYD25BMOB3101135,2019-08-28 00:00:00,2019-08-29 00:00:00,pending,adjust turn signals; install parking sensors; ,Rundofase,43.61,NULL,
3KYD25BMOB3101135,2019-09-05 00:00:00,2019-09-18 00:00:00,completed,replace fuel filter; adjust seat belts tension; ,Zencorporation,174.42,NULL,
3S8JO5UMV1Y166789,2019-06-26 00:00:00,2019-06-26 00:00:00,in progress,install dusk-sensing headlights; adjust accelerator pedal linkage; ,Cancity,16.97,18V576000,
3S8JO5UMV1Y166789,2019-06-30 00:00:00,2019-07-04 00:00:00,in progress,fix rear defroster; ,Cancity,33.94,NULL,
3S8JO5UMV1Y166789,2019-07-05 00:00:00,2019-07-27 00:00:00,in progress,replace catalytic converter; install dusk-sensing headlights; ,Rundofase,356.39,NULL,
3S8JO5UMV1Y166789,2019-07-29 00:00:00,2019-07-30 00:00:00,completed,adjust regenerative braking; install dusk-sensing headlights; ,Newex,33.94,NULL,
3S8JO5UMV1Y166789,2019-07-31 00:00:00,2019-08-06 00:00:00,in progress,install intelligent alternator; change timing belt; ,Fasehatice,33.94,08E050000,
3S8JO5UMV1Y166789,2019-08-11 00:00:00,2019-08-18 00:00:00,pending,install turbocharger; ,Rundofase,118.8,NULL,
3S8JO5UMV1Y166789,2019-08-26 00:00:00,2019-09-03 00:00:00,pending,change timing belt; replace steering column lock; ,Zencorporation,135.77,NULL,
3S8JO5UMV1Y166789,2019-09-06 00:00:00,2019-09-19 00:00:00,in progress,install curtain airbags; replace catalytic converter; ,Toughzap,169.71,NULL,
3U3N6HS8K3V143011,2019-03-15 00:00:00,2019-03-15 00:00:00,completed,reduce blind spot; adjust climate control; ,Fasehatice,36.42,NULL,
3U3N6HS8K3V143011,2019-03-29 00:00:00,2019-03-31 00:00:00,completed,fix steering damper; change wheel cylinders; ,Cancity,36.42,NULL,
3U3N6HS8K3V143011,2019-04-21 00:00:00,2019-05-01 00:00:00,in progress,install optional equipment; fix sunroof; ,Zoomit,145.67,04V046000,
3U3N6HS8K3V143011,2019-05-05 00:00:00,2019-05-16 00:00:00,pending,fix rear defroster; install roof spoiler; ,Rundofase,254.92,NULL,
3VWJ7G74MRP551283,2019-05-18 00:00:00,2019-05-20 00:00:00,pending,configure audio remote control; change coolant; ,Zumgoity,33.35,NULL,
3VWJ7G74MRP551283,2019-05-22 00:00:00,2019-05-22 00:00:00,completed,repair shiftable automatic transmission; change memory settings of the onboard computer; ,Newex,11.12,NULL,
3VWJ7G74MRP551283,2019-05-28 00:00:00,2019-05-31 00:00:00,completed,fix ventilated seats; repair direct injection system; ,Fasehatice,44.47,NULL,
3VWJ7G74MRP551283,2019-06-06 00:00:00,2019-06-07 00:00:00,pending,replace liftgate window; add heated windshield; ,Newex,11.12,NULL,
3VWJ7G74MRP551283,2019-06-08 00:00:00,2019-06-11 00:00:00,pending,fix nvh dampening system; ,Toughzap,33.35,NULL,
3VWJ7G74MRP551283,2019-06-25 00:00:00,2019-06-25 00:00:00,in progress,replace water pump; change pcv filter/pcv valve; ,Cancity,11.12,NULL,
41AHCTXZIUN699904,2019-03-26 00:00:00,2019-04-19 00:00:00,pending,add knee airbags; set up satellite radio; ,Newex,67.5,NULL,
41AHCTXZIUN699904,2019-05-04 00:00:00,2019-06-27 00:00:00,in progress,change purge valve; install anti-theft alarm; ,Zumgoity,472.52,NULL,
41AHCTXZIUN699904,2019-06-29 00:00:00,2019-07-03 00:00:00,in progress,adjust ignition timing; change steering rack; ,Toughzap,16.88,NULL,
41AHCTXZIUN699904,2019-07-12 00:00:00,2019-08-07 00:00:00,in progress,change air conditioner refrigerant; install intelligent alternator; ,Zencorporation,455.65,10V449000,
41AHCTXZIUN699904,2019-08-11 00:00:00,2019-08-17 00:00:00,pending,fix external temperature display; adjust reverse tilt mirrors; ,Zencorporation,118.13,NULL,
41AHCTXZIUN699904,2019-08-19 00:00:00,2019-09-05 00:00:00,pending,make polarization coating; change speaker configuration; ,Cancity,101.26,NULL,
426W8PU85BH593514,2019-02-22 00:00:00,2019-02-24 00:00:00,completed,fix cylinder head bolts; change purge valve; ,Rundofase,24.15,NULL,
426W8PU85BH593514,2019-02-26 00:00:00,2019-02-26 00:00:00,pending,improve cylinder configuration; improve engine performance; ,Zoomit,24.15,NULL,
426W8PU85BH593514,2019-03-21 00:00:00,2019-03-27 00:00:00,in progress,fix solar sunroof; reconfigure service reminder light; ,Zoomit,96.6,19V149000,
426W8PU85BH593514,2019-04-08 00:00:00,2019-04-22 00:00:00,in progress,install smoked glass; ,Cancity,96.6,NULL,
4G40BAXEV4V936460,2019-04-12 00:00:00,2019-04-13 00:00:00,in progress,remove oversteer; attach seat extension; ,Zencorporation,37.72,NULL,
4G40BAXEV4V936460,2019-04-14 00:00:00,2019-04-15 00:00:00,pending,install turbocharger; ,Zoomit,18.86,NULL,
4G40BAXEV4V936460,2019-04-16 00:00:00,2019-04-16 00:00:00,completed,adjust ignition timing; adjust traction control system; ,Rundofase,18.86,NULL,
4G40BAXEV4V936460,2019-04-21 00:00:00,2019-04-22 00:00:00,pending,replace water pump; repair cooled seats; ,Fasehatice,18.86,NULL,
4G40BAXEV4V936460,2019-04-24 00:00:00,2019-04-28 00:00:00,in progress,replace fuel filter; ,Zoomit,18.86,NULL,
4G40BAXEV4V936460,2019-04-29 00:00:00,2019-04-30 00:00:00,in progress,install separate rear audio; fix broken tow hooks; ,Newex,37.72,NULL,
4G40BAXEV4V936460,2019-05-01 00:00:00,2019-05-02 00:00:00,completed,change speaker configuration; fix solar sunroof; ,Rundofase,18.86,NULL,
58SXUC0BZIA446980,2019-04-12 00:00:00,2019-04-14 00:00:00,completed,change air conditioner refrigerant; fix a-pillar; ,Zumgoity,89.39,18V268000,
58SXUC0BZIA446980,2019-07-18 00:00:00,2019-09-16 00:00:00,pending,fix cylinder head bolts; replace brake pedal spring; ,Toughzap,238.37,11V395000,
5I71MA5PSO0445780,2019-04-01 00:00:00,2019-04-07 00:00:00,in progress,adjust climate control; ,Newex,127.23,NULL,
5I71MA5PSO0445780,2019-04-23 00:00:00,2019-04-28 00:00:00,completed,fix cylinder head bolts; ,Zumgoity,63.62,NULL,
5I71MA5PSO0445780,2019-05-27 00:00:00,2019-06-17 00:00:00,completed,improve cylinder configuration; refurbish power steering; ,Zumgoity,667.96,18V828000,
5I71MA5PSO0445780,2019-06-19 00:00:00,2019-06-23 00:00:00,pending,install on-board diagnosis system; install on-board diagnosis system; ,Zumgoity,159.04,NULL,
5I71MA5PSO0445780,2019-07-21 00:00:00,2019-08-15 00:00:00,completed,replace ace filter; improve engine performance; ,Fasehatice,159.04,NULL,
5I71MA5PSO0445780,2019-08-27 00:00:00,2019-08-28 00:00:00,in progress,fix nvh dampening system; ,Zumgoity,31.81,NULL,
5I71MA5PSO0445780,2019-08-30 00:00:00,2019-09-19 00:00:00,in progress,set up satellite radio; replace brake pedal spring; ,Zoomit,540.73,NULL,
5U2302GFYRL619555,2019-05-12 00:00:00,2019-05-30 00:00:00,pending,set up auto-delay headlights; adjust seat belts tension; ,Zumgoity,536.94,NULL,
5U2302GFYRL619555,2019-06-11 00:00:00,2019-06-11 00:00:00,completed,install on-board diagnosis system; upgrade navigation system; ,Fasehatice,28.26,NULL,
5U2302GFYRL619555,2019-06-18 00:00:00,2019-06-26 00:00:00,completed,add heated windshield; fix broken tow hooks; ,Zencorporation,169.56,13V489000,
5U2302GFYRL619555,2019-07-03 00:00:00,2019-07-10 00:00:00,in progress,install vanity mirrors; install optional equipment; ,Toughzap,169.56,15V629000,
5U2302GFYRL619555,2019-07-17 00:00:00,2019-07-20 00:00:00,pending,refurbish power steering; replace catalytic converter; ,Rundofase,56.52,NULL,
66BVP1UV1VM384215,2019-05-25 00:00:00,2019-06-09 00:00:00,in progress,adjust regenerative braking; remove oversteer; ,Fasehatice,279.31,NULL,
66BVP1UV1VM384215,2019-06-19 00:00:00,2019-06-27 00:00:00,in progress,fix air filter restriction indicator; ,Cancity,79.8,NULL,
66BVP1UV1VM384215,2019-07-11 00:00:00,2019-07-20 00:00:00,completed,replace tail lights; fix rear defroster; ,Zumgoity,79.8,NULL,
66BVP1UV1VM384215,2019-08-01 00:00:00,2019-08-24 00:00:00,in progress,install dusk-sensing headlights; fix rear defroster; ,Cancity,99.76,NULL,
66BVP1UV1VM384215,2019-09-02 00:00:00,2019-09-23 00:00:00,completed,install anti-theft alarm; refurbish power steering; ,Toughzap,119.71,NULL,
6D300ABH65P725391,2019-03-05 00:00:00,2019-03-19 00:00:00,completed,adjust climate control; install roof spoiler; ,Fasehatice,459.95,NULL,
6D300ABH65P725391,2019-03-21 00:00:00,2019-04-30 00:00:00,pending,set up gyro sensor; install active pedestrian protection system; ,Zumgoity,1494.83,NULL,
6D300ABH65P725391,2019-05-30 00:00:00,2019-06-28 00:00:00,in progress,fix external temperature display; adjust reverse tilt mirrors; ,Newex,766.58,NULL,
6HKQMAEQ5PA690783,2019-01-20 00:00:00,2019-02-27 00:00:00,pending,replace catalytic converter; replace diverter valve; ,Fasehatice,664.32,NULL,
6HKQMAEQ5PA690783,2019-03-02 00:00:00,2019-03-02 00:00:00,in progress,change steering rack; make polarization coating; ,Fasehatice,44.29,NULL,
6HKQMAEQ5PA690783,2019-03-04 00:00:00,2019-03-20 00:00:00,completed,install turbocharger; improve cylinder configuration; ,Zumgoity,265.73,NULL,
6KSCMBLK5DZ055754,2019-05-08 00:00:00,2019-05-28 00:00:00,in progress,change wheel cylinders; configure universal remote control; ,Cancity,483,NULL,
6KSCMBLK5DZ055754,2019-06-16 00:00:00,2019-06-16 00:00:00,completed,install intelligent alternator; install separate rear audio; ,Zencorporation,24.15,NULL,
6PSJQWZYS2J443879,2019-06-20 00:00:00,2019-06-20 00:00:00,completed,adjust hybrid performance; change purge valve; ,Fasehatice,133,NULL,
6PSJQWZYS2J443879,2019-06-21 00:00:00,2019-06-22 00:00:00,pending,change coolant; ,Toughzap,133,NULL,
7F3L3GAY4BB268957,2019-06-16 00:00:00,2019-06-26 00:00:00,completed,adjust regenerative braking; replace liftgate window; ,Zoomit,162.61,13V259000,
7FT34LPXEKD855738,2019-02-11 00:00:00,2019-02-24 00:00:00,completed,fix external temperature display; correct abs; ,Toughzap,278.93,NULL,
