vin,vehicle_mileage,vehicle_description,model_name,model_year,type_name,manufacturer_name,sale_price
7Y1EAHONCCS732936,8247,best suspension; ,CALIBER,2012,Minivan,Dodge,16291.771500000003
AI51SMWRVBH997689,102980,ultra new transmission; ,MERIVA,2008,Van,Chevrolet,1718.4085000000002
58SXUC0BZIA446980,161228,crankcase; hydraulic brakes; ,CRF70F,2008,Truck,Honda,4085.0485000000003
EAJW0OF78HV386515,129480,,SPRINTER 3500,2002,Coupe,Freightliner,2197.1005
AKHFEO0D1D4893889,3544,wide cam; ,FE-SP,2004,Truck,Mitsubishi,7052.853999999999
BNWE37HKK6A465562,58848,coupe; ,GIULIETTA,2019,Van,Alfa Romeo,2115.3655
6HKQMAEQ5PA690783,29506,supernew catalytic converter; ,PATRIOT,2011,Sedan,Jeep,6607.736500000001
I7CVVBU08H1044370,49142,disc brake; gap; ,EOS,2008,Sedan,Volkswagen,2196.7619999999997
MW6HGX7M6O4186962,2092,,V8 VANTAGE,2011,Convertible,Aston Martin,5036.442000000001
SJV51DZQ416158315,176770,autotachometer;,PASSAT,2013,Minivan,Volkswagen,6632.5115
CHA3G8GE21K992177,12174,broad wheelbase; crankcase; ,SUBURBAN 1500,2017,Truck,Chevrolet,18686.416
1D377TZAWSW801985,36111,no backfire/backfiring; ,GT,2008,Minivan,Alfa Romeo,5795.337500000001
EMARJQJLUEI221810,50919,normally aspirated; ,ARNAGE,2001,Minivan,Bentley,5420.1795
UEHE08QS622862172,20001,high torque; ,PRIUS V,2013,Convertible,Toyota,2196.6495
KIYTRMRZHSZ939929,91502,,GRANSPORT,2007,Truck,Maserati,7643.7384999999995
MXF3EGT2PAG490479,42500,good piston; ,FORESTER,2008,Coupe,Subaru,3327.7805
VSGK3RYW2TC911641,102289,wide cam; ,S40,2002,Sedan,Volvo,3681.6329999999994
ZS1SXM3GTO8957023,11720,air filtration system; ,ESCALADE EXT,2007,Truck,Cadillac,3987.4259999999995
ABCX0O07N6F519334,107835,original equipment manufacturer (OEM) parts; modern dashboard; high torque; ,575 M MARANELLO,2005,Sedan,Ferrari,10365.170000000002
H0SVSC0X1W0660350,37800,high differential; automatic valves; ,EXPRESS 4500,2013,Coupe,Chevrolet,11308.092499999997
IOCT8QVK86C997015,98400,,CONTINENTAL,2012,Minivan,Bentley,8531.0825
XLHSC830B4B709486,10582,drum brake; ,C70,2010,Convertible,Volvo,7772.6669999999995
XG2F8AZ3DKK768039,31600,,FORTE KOUP,2016,Convertible,Kia,3516.6065
23XI32P0M0K897737,102280,,CAYMAN,2007,Convertible,Porsche,2635.2545
2TN1NJUXESG344969,11972,automatic torque converter; ,IMPREZA,2018,SUV,Subaru,17573.586
2KANK83IC2A444270,100896,minivan; ,SILVERADO 2500 HD,2011,Convertible,Chevrolet,5379.7065
XOBOW6AU18A917853,5133,,MARK LT,2008,Van,Lincoln,3012.1349999999993
22420XMJ47N471618,111720,supernew catalytic converter; ,S,2013,SUV,Tesla,1824.0539999999999
VP0U4FNOL1Q272112,84541,manual transmission; ,MITO,2013,SUV,Alfa Romeo,5015.5735
1EW5SWZMNBU661507,61050,best sedan; automatic transmission; engine displacement; ,TT QUATTRO,2005,Van,Audi,1639.3954999999999
7FT34LPXEKD855738,96640,,MT55,2009,Coupe,Freightliner,4038.8895000000007
E64AFHYM7CM667399,84966,front wheel drive; fuel injection; Automotive Service Excellence (ASE); ,AZURE,2010,Convertible,Bentley,2644.677
426W8PU85BH593514,52180,crankcase; hydraulic brakes; ,IMPREZA,2011,Sedan,Subaru,3284.4000000000005
KRDZJUDE7EC973298,32130,can be used as sports car; ,COUPE,2003,SUV,Maserati,1925.7749999999999
EFUWNBMO3TM316916,158818,automatic safety features; ,ELISE,2011,Van,Lotus,2720.7
LAW66TO51NY340329,129900,gap; no backfire/backfiring; ,TRX500FGA FOURTRAX FOREMAN RUBICON,2008,Sedan,Honda,1996.2510000000002
SX73Y7QKKQF628146,75560,,EOS,2012,Minivan,Volkswagen,2350.057999999999
V4JVFR4YRS7140562,4266,best suspension; ,GOL SEDAN,2012,Convertible,Volkswagen,7061.2985
XUV6JR4Q8SX652578,27628,normally aspirated; ,Q45,2004,Truck,INFINITI,1577.7690000000005
K23GQ1HYKID336715,43530,automatic safety features; ,ARNAGE,2009,Convertible,Bentley,5759.925500000001
JVUFO2OOZH6501609,33075,sturdy rear axle assembly; ,PASSAT,2017,Convertible,Volkswagen,5431.9385
6D300ABH65P725391,125635,high volume cylinder; pickup; ,LIBERTY,2003,Sedan,Jeep,7784.621
AFTWPBMU2TA534019,67542,air filtration system; ,ESPRIT,2004,Coupe,Lotus,4304.412499999999
Z4RBIUHHJZS859016,127020,best radiator; ,FE-HD,2002,Van,Mitsubishi,1710.7630000000001
1RQR2NON75E373495,14172,innovative air bags; ,MX-5,2006,Coupe,MAZDA,1701.062
OOXPL1JMKRX336822,32888,manual transmission; normally aspirated; ,612 SCAGLIETTI,2010,Convertible,Ferrari,4986.611500000001
X7PFFGNBSQI524327,9388,Automotive Service Excellence (ASE); detail; ,BOXSTER,2011,SUV,Porsche,17692.374499999994
CNXWEAHRICK569430,62856,four-wheel drive; ,WRANGLER,2006,Coupe,Jeep,6213.097
41AHCTXZIUN699904,91080,supernew catalytic converter; high torque; small spark plug gap; ,VANQUISH,2003,Coupe,Aston Martin,3464.6090000000004
GKTLIDKGMZ6109105,7135,good gear; ,DBS,2008,Minivan,Aston Martin,6850.324999999999
LMC0DXV2F72475134,13130,best oil pump; ,OUTBACK,2018,Minivan,Subaru,13270.3215
EBZZN84J0L1163524,19605,Automotive Service Excellence (ASE); ,RAM 2500 TRUCK,2003,Van,Dodge,14952.887
GC225MTL5DF831250,10299,coupe; best suspension; ,CAYMAN,2015,Sedan,Porsche,5928.847000000001
5I71MA5PSO0445780,22908,manual transmission; ,GT,2008,Truck,Alfa Romeo,5900.310500000001
1WU1KQALZ75403546,50010,active safety features; crumple zones; ,LANCER,2008,SUV,Mitsubishi,6553.301999999999
3U3N6HS8K3V143011,18870,crumple zones; ,SIERRA 2500 HD,2012,Coupe,GMC,5072.9980000000005
GBA0V3Z00JI851102,118476,autotachometer; modern dashboard; ,GRANTURISMO,2011,Van,Maserati,1871.712
31ZQB40Z55B784788,123328,super new ignition system; power train; ,456 M GTA,2002,Coupe,Ferrari,4432.821999999999
WJUY8SU2JR0730363,39573,no redline; ,PATRIOT,2017,Minivan,Jeep,6364.141500000001
05AJ273ZM02946325,159990,,C7500 TOPKICK,2004,SUV,GMC,7177.6625
7W7UDF3KP41966929,54990,great rpms; station wagon (Also known as wagon.); ,ESCALADE EXT,2003,SUV,Cadillac,4883.233
NNLD761PGMY686484,23613,hydraulic brakes; good gear; sturdy rear axle assembly; ,FL80,2005,Minivan,Freightliner,4060.7745000000004
CQCKR5VZRWO844951,6276,no understeer; ,COOPER,2003,Coupe,MINI,8369.912
WMXOWCZE1MO140134,38615,strong muffler; electronic transmission; ,ENDEAVOR,2007,SUV,Mitsubishi,5344.201499999999
6GHR6AAGP36983674,4232,high quality carburetor; ,3 SPORT,2013,Van,MAZDA,24247.800000000003
8FX05ZAH64B316440,79100,wide transaxle; ,AZERA,2009,SUV,Hyundai,9642.0245
0HJ3WSLKGZT340626,17670,engine displacement; ,LACROSSE,2008,SUV,Buick,3083.4629999999997
IKUQE1AIER1879688,57900,engine displacement; power train; ,RL,2002,Sedan,Acura,2043.853
WSMCQT2QRUX986498,22538,pickup; ,MATRIX,2017,Van,Toyota,5485.8125
AZCPHC4R1RY522608,130284,,FORTWO,2007,SUV,smart,4018.3565000000003
NVDV1HTYNUU168147,63324,automatic safety features; ,R1200CL,2005,Van,BMW,2488.522
8BPZY476GS8852305,21882,,MKS,2015,Convertible,Lincoln,9093.497999999998
27J2LRAE38R945176,76590,high volume cylinder; ,LUCERNE,2007,SUV,Buick,5198.9664999999995
5U2302GFYRL619555,165004,,ELANTRA,2010,Truck,Hyundai,4589.398999999999
B3V53WEVPX7253102,30759,best sedan; ,ENCLAVE,2012,Convertible,Buick,9805.912500000002
I6M6GMQGG7C407268,99910,sport utility vehicle-SUV; best sedan; broad wheelbase; ,COOPER,2007,Coupe,MINI,6071.6395
B2JQXKMCCJ3730138,77568,automatic torque converter; ,CADDY,2018,Van,Volkswagen,6245.1765
Z8UDI7LAGS7164830,167400,station wagon (Also known as wagon.); ,ST1300,2004,Truck,Honda,2679.5785
KSC5NS2WX0Q021711,14726,drum brake; ,G37,2012,Van,INFINITI,4426.3995
WN6OY1F26X1741004,51128,original equipment manufacturer (OEM) parts; wide transaxle; convertible; ,F430,2005,Coupe,Ferrari,2781.8535
05WXEVLB5X8956206,24135,fuel injection; ,SRX,2009,SUV,Cadillac,6095.819
1U4MXLVV84A726331,129670,,ELISE,2007,Sedan,Lotus,2881.2229999999995
8C76DYYDYJU989849,8910,can be used as sports car; ,SRX,2008,Sedan,Cadillac,9589.0465
EVDJMOIDNRC331823,17826,all passive safety features; ,FORFOUR,2005,Coupe,smart,1323.15
4G40BAXEV4V936460,102825,overdrive; ,XTS,2013,SUV,Cadillac,2543.9765000000007
ATWA3W65LU2848535,12702,hatchback; air filtration system; ,PRIUS V,2015,Minivan,Toyota,5956.7555
A1NW00GFYRY803793,93475,great rpms; ,G35,2003,Convertible,INFINITI,2193.3135
ZDR30CO5D6G733856,85110,,DUCATO,2008,Truck,FIAT,5567.907499999999
3HWBBE541KJ068668,42840,best oil pump; ,335I,2008,Sedan,BMW,8780.3025
ENHQ8WS125F354364,4884,manual transmission; ,TSX,2010,Van,Acura,8747.6065
BX1OSN5TZYU191007,23424,manual transmission; ,SONATA,2010,Sedan,Hyundai,3101.8144999999995
0XHRC15HS5V123753,106125,rack and pinion steering; ,TSX,2011,Truck,Acura,5914.39
35TB5QWCJW0515619,136271,ultra new transmission; ,XKR,2019,Minivan,Jaguar,2548.7805000000008
NQC3ODNRG8W618383,106985,,MKS,2011,SUV,Lincoln,9155.505
SEXWGCZNLS4439650,176955,crankcase; ,BROOKLANDS,2009,Sedan,Bentley,2201.0815
ZIL5XS7BK6F565259,115032,modern dashboard; ,CALIFORNIA,2018,Convertible,Ferrari,2502.7844999999998
LXLYHOV4G1Z722469,167240,normally aspirated; ,EXPRESS 3500,2018,SUV,Chevrolet,1461.0014999999996
66BVP1UV1VM384215,47550,no understeer; detail; ,LS600H,2010,Truck,Lexus,3218.0930000000003
U0PQOVOJXT2453885,25746,engine displacement; ,GHIBLI,2015,Coupe,Maserati,3430.1259999999997
K5ZQ65X47KU986899,66910,minivan; ,ELDORADO,2001,SUV,Cadillac,4489.647000000001
L8CKHAJ376Q732997,7152,automatic safety features; ,RX400H,2008,Sedan,Lexus,4214.820500000001
ZXZP2ADJFMJ124788,2842,,COMMANDER,2009,SUV,Jeep,10978.717999999999
E8MFMML51CM701156,26844,all passive safety features; ,PALIO,2007,Van,FIAT,3119.935
7YCPTKZS5B3163969,38273,,TRX500FE FOURTRAX FOREMAN 4X4 ES,2008,Convertible,Honda,4684.386500000001
Z0Z206HDHO0103381,141406,power train; ,VERANO,2013,Truck,Buick,1661.3319999999999
JGARQY7YBFD847126,21752,air filtration system; broad wheelbase; ,SEDAN,2002,Convertible,Volkswagen,2566.3
PEXVHDHEYM7282767,44320,best radiator; ,DBS,2009,Truck,Aston Martin,2923.2665000000006
BHVL8OFSZ0G423785,30246,manual transmission; ,VT1100C SHADOW SPIRIT,2005,Convertible,Honda,2308.3340000000003
ZDIFPMGLJRT329921,129628,best oil pump; best possible traction; ,RDX,2012,Minivan,Acura,7511.772499999999
PUVTYE6IVGN271318,78935,rear wheel drive; ,DBS,2011,Convertible,Aston Martin,2764.1955000000003
MBKMABQOONK563483,87548,original equipment manufacturer (OEM) parts; ,SOUL,2019,Van,Kia,2565.6480000000006
MT0OEZQ7C5Q035531,97620,front wheel drive; ,DB9,2013,Coupe,Aston Martin,2669.8804999999998
F5BABPZQD3I737349,139336,Automotive Service Excellence (ASE); high torque; ,ASTRO,2003,Van,Chevrolet,3941.3745000000004
LN7ZMWGACVJ434473,53772,innovative air bags; ,SAVANA 3500,2016,Van,GMC,2628.0699999999993
OUXQFNQE2K7274854,105308,engine displacement; ,740I,2015,Sedan,BMW,7612.513000000001
ZS1M7DGNG0B708125,10388,,RAM 2500 PICKUP,2001,SUV,Dodge,7203.913499999999
0Y8HTOZ7K6L112375,139065,ultra new transmission; normally aspirated; hydraulic brakes; ,WRANGLER,2004,Van,Jeep,5594.820000000001
6KSCMBLK5DZ055754,27610,best radiator; ,IMPREZA,2002,Convertible,Subaru,3576.6150000000002
LEWHC17RSR2225266,22948,coupe; ,MARK LT,2007,Coupe,Lincoln,1739.6949999999997
M6J2KWLLUKW587077,73801,,AZERA,2011,Sedan,Hyundai,6256.004500000001
UVVEV0Y7R3V483738,5350,automatic transmission; ,OUTLANDER,2011,Sedan,Mitsubishi,3314.033
L075CLEGAGV332326,61175,four-wheel drive; drive shaft; ,RX330,2004,Van,Lexus,2179.0425
A2YAQD6KDWM503404,6490,detail; ,FORTWO,2011,SUV,smart,7862.5905
1D75678DO43448008,9230,,PROMASTER 2500,2016,Minivan,Ram,5750.014
FWOYW8SJUH7074597,58928,pickup; ,SPRINTER 3500,2003,Convertible,Freightliner,2609.1714999999995
QHUYKEFC12W678012,193286,power train; ,DB9,2012,Truck,Aston Martin,1691.8704999999998
30KBYEYBKH5669910,53610,best possible traction; ,E-350 ECONOLINE CLUB WAGON,2001,Sedan,Ford,2179.4925
RUAW8E8S2SA826885,154050,automatic safety features; ,TITAN,2008,Minivan,Nissan,2607.7599999999998
3VWJ7G74MRP551283,124280,check the Monroney sticker - theer is nothing better than this vehicle; ,V8 VANTAGE,2007,SUV,Aston Martin,1548.7454999999995
G33VJW8N2FY389186,4738,broad wheelbase; drive shaft; high block; ,B2300,2001,Minivan,MAZDA,2631.425
JVT2Q6U7HLH559100,2485,,SPIDER,2007,Van,Alfa Romeo,4385.736500000001
T1HO8QC0CE5867880,53997,coupe; ,POINTER,2003,Van,Volkswagen,2371.7625000000003
30IT6VOHPTN692600,133159,oversteer; ,RL,2002,SUV,Acura,1959.824
S7OOZE7TI6U419267,136516,front axle assembly; active safety features; supernew catalytic converter; ,FX35,2012,Sedan,INFINITI,2181.0854999999997
8CPKHCHU2W7031895,139625,no redline; ,FORTWO,2005,Truck,smart,3391.5875
VDJS4PZ5A22366162,90324,high torque; ,XK8,2005,SUV,Jaguar,2159.6
ASBUY3C1GYP443816,5513,manual transmission; ,3 SPORT,2010,Coupe,MAZDA,21465.2055
1J1RMS1AO48718511,34872,,COOPER COUNTRYMAN,2013,Truck,MINI,2104.4425000000006
H130KLLOZLY973998,111596,rack and pinion steering; ,ROADSTER,2009,Minivan,Tesla,2032.2569999999998
SWME2EZ3HDD006687,13550,great engine; ,SL55 AMG,2006,Minivan,Mercedes-Benz,3295.9525000000003
73MVKB63GMJ964569,6381,best sedan; ,GALANT,2004,SUV,Mitsubishi,8267.837500000001
JAH4TXSVFRZ937654,83052,wide transaxle; ,POINTER,2004,Van,Volkswagen,2455.230500000001
MW7W375RHHU707116,51504,rear wheel drive; ,COOPER,2015,Van,MINI,6020.8855
C0VHQRA5CIO857811,63870,coupe; ,ARNAGE,2003,SUV,Bentley,5420.190499999999
FZ1HFZ585WR955503,99636,high quality carburetor; ,AVIATOR,2004,Minivan,Lincoln,11199.458499999999
SROKG0OMKKQ394333,32814,rack and pinion steering; ,TRACKER,2002,Convertible,Chevrolet,8359.638
C4QIGI5R0PE739600,76236,autotachometer; automatic torque converter; ,OUTLANDER,2004,Convertible,Mitsubishi,1589.83
MYX14D30CZI581341,6777,check the Monroney sticker - there is nothing better than this vehicle; repair,Q5,2013,Van,Audi,5110.6255
OUIFCWSPPHR650293,27801,modern dashboard; ,GENESIS,2011,Convertible,Hyundai,4415.88
M58W6OQD1J3561088,64527,,BOXSTER,2001,Truck,Porsche,10905.038
PC02G0A675B935953,4566,detail; ,CANTER FE180,2012,Van,Mitsubishi,6007.412
K6NPKFWC2DG818634,77212,hydraulic brakes; drum brake; ,TL,2004,Coupe,Acura,3525.9145
1MF8O5K3V5X143850,104044,wide transaxle; ,LX570,2010,Minivan,Lexus,3974.2864999999997
JB6TJOH3G13545501,2998,super new ignition system; ,INTEGRA,2001,Coupe,Acura,8483.561000000002
3KYD25BMOB3101135,3972,drive shaft; high differential; can be used as sports car; ,IMPREZA,2003,Minivan,Subaru,6505.913
7F3L3GAY4BB268957,119148,good gear; all passive safety features; high quality carburetor; ,CANYON,2005,Sedan,GMC,5260.321
P7UUVOVKPTD080947,48335,,QUATTROPORTE,2007,SUV,Maserati,2636.1485
0XJA8OD4GS2220202,12756,superturbocharger; ,PRIUS V,2012,Minivan,Toyota,3269.7215
WSHBRYQYDCI202435,19620,detail; unibody construction; wide cam; ,S7,2014,Van,Audi,13435.512999999999
1NVXI5JXG3Q330243,3812,automatic valves; wide chassis; ,AZERA,2010,Van,Hyundai,14864.353
SZAJTDBI6IL561669,101749,original equipment manufacturer (OEM) parts; ,4C,2016,Coupe,Alfa Romeo,5454.615000000001
7T0CI3XEYJA004139,21140,super new ignition system; ,COMPASS,2019,Coupe,Jeep,7024.993499999996
E5WGL31NMNQ304399,25840,engine displacement; ,ARNAGE,2002,SUV,Bentley,6354.431500000001
YB3M3MZEQ1J275307,28814,coupe; ,SIERRA 1500,2001,Convertible,GMC,4682.240499999999
0OZ6776OUA0065975,3409,best possible traction; ,MULSANNE,2014,Sedan,Bentley,6279.042
Z4SH0SHZI01062444,140520,automatic valves; ,ROADSTER,2009,Sedan,Tesla,2847.72
IHCVQSL87UO415387,189940,minivan; unibody construction; ,WRX STI,2015,Minivan,Subaru,3802.5690000000004
6PSJQWZYS2J443879,6828,detail; ,XK,2015,Minivan,Jaguar,16917.249999999996
YR8K00OE58G720472,22740,fuel injection; ,WRANGLER,2007,Coupe,Jeep,5642.384000000001
3S8JO5UMV1Y166789,80787,very hard struts; ,CAMARO,2010,Convertible,Chevrolet,3110.768499999999
F6TVSMY2L2Z886673,57190,great rpms; hydraulic brakes; ,ML400,2015,Convertible,Mercedes-Benz,4255.836
U3HSV2KCE0Y319532,92019,automatic valves; high block; ,YARIS,2012,Sedan,Toyota,7334.089500000002
036JZFZ8I3K433701,79683,disc brake; ,Q45,2003,Sedan,INFINITI,1265.875
AN86IKI83LD618280,23400,innovative air bags; automatic valves; ,TT,2001,Convertible,Audi,6341.631499999999
PHTKITC5C1H921363,85628,great engine; ,458 ITALIA,2012,Convertible,Ferrari,3532.1425
0KQT4QWDSFO183874,58788,anti-lock brake system (ABS); ,VERACRUZ,2007,Sedan,Hyundai,5904.7255
KG6S1KYGKY7383089,101450,gap; ,MAXIMA,2012,Minivan,Nissan,6035.9945
7A13XEM0IMF171736,66160,innovative air bags; front axle assembly; ,LOBO,2013,Van,Ford,1880.4624999999999
R56SEOUUT0R265399,26791,good piston; ,MURCIELAGO,2003,Van,Lamborghini,3338.0295000000006
TD5OFRN1LC8601752,39765,oversteer; overdrive; unibody construction; ,RAM 3500 PICKUP,2003,SUV,Dodge,4011.4159999999997
ZJFVODF6M3T898510,73979,broad wheelbase; ,BOXSTER,2016,Minivan,Porsche,10534.25
